loc	cluster
chr3:95399890-95400091	MPP
chr8:70666757-70666958	MPP
chr12:31239984-31240185	MPP
chr6:48447708-48447909	MPP
chr15:81985881-81986082	MPP
chr11:107299745-107299946	MPP
chr4:46574050-46574251	MPP
chr4:3721528-3721729	MPP
chr5:118087952-118088153	MPP
chr1:136653512-136653713	MPP
chr5:96029613-96029814	MPP
chr5:37332827-37333028	MPP
chr4:141690349-141690550	MPP
chr6:40432400-40432601	MPP
chr4:119813581-119813782	MPP
chr19:40656278-40656479	MPP
chr9:44088190-44088391	MPP
chr5:148287331-148287532	MPP
chr2:155964277-155964478	MPP
chr4:152329427-152329628	MPP
chr15:62108123-62108324	MPP
chr8:61391219-61391420	MPP
chr10:70116571-70116772	MPP
chr1:165187395-165187596	MPP
chr5:97874639-97874840	MPP
chr2:180073008-180073209	MPP
chr13:95323192-95323393	MPP
chr7:104456749-104456950	MPP
chr11:5851100-5851301	MPP
chr10:44323135-44323336	MPP
chr5:73189890-73190091	MPP
chr4:59482403-59482604	MPP
chr8:11476355-11476556	MPP
chr1:14636016-14636217	MPP
chr6:49047036-49047237	MPP
chr5:75592236-75592437	MPP
chr7:35051499-35051700	MPP
chr15:27575057-27575258	MPP
chr10:44330760-44330961	MPP
chr2:163226567-163226768	MPP
chr6:34331826-34332027	MPP
chr17:64833318-64833519	MPP
chr12:85051238-85051439	MPP
chr3:88127740-88127941	MPP
chr3:142310486-142310687	MPP
chr4:139260026-139260227	MPP
chr10:109887748-109887949	MPP
chr13:38538310-38538511	MPP
chr4:128789737-128789938	MPP
chrX:137002924-137003125	MPP
chr6:85699774-85699975	MPP
chr14:75805304-75805505	MPP
chr17:36763350-36763551	MPP
chr1:191304388-191304589	MPP
chr1:193110021-193110222	MPP
chr7:141251085-141251286	MPP
chr1:128636624-128636825	MPP
chr9:50535977-50536178	MPP
chr1:96923405-96923606	MPP
chr10:62951243-62951444	MPP
chr6:134266493-134266694	MPP
chr9:48465117-48465318	MPP
chr7:97061598-97061799	MPP
chr10:117779322-117779523	MPP
chr15:83140366-83140567	MPP
chrX:103501460-103501661	MPP
chr2:10323213-10323414	MPP
chr13:30921991-30922192	MPP
chr11:88011749-88011950	MPP
chr18:76095424-76095625	MPP
chr17:31736757-31736958	MPP
chr1:13465225-13465426	MPP
chr14:117929863-117930064	MPP
chr15:34331019-34331220	MPP
chr8:124809467-124809668	MPP
chr4:67424224-67424425	MPP
chr19:32992501-32992702	MPP
chr17:74976442-74976643	MPP
chr8:121843524-121843725	MPP
chr12:8778325-8778526	MPP
chr3:27641441-27641642	MPP
chr4:138782190-138782391	MPP
chr9:64332406-64332607	MPP
chr9:57271876-57272077	MPP
chr3:100479832-100480033	MPP
chr11:75213298-75213499	MPP
chr8:15994949-15995150	MPP
chr6:48276404-48276605	MPP
chr13:51631441-51631642	MPP
chr6:95701284-95701485	MPP
chr8:128425102-128425303	MPP
chr17:75534694-75534895	MPP
chr6:137773697-137773898	MPP
chr10:68040555-68040756	MPP
chr2:170550458-170550659	MPP
chr7:28942026-28942227	MPP
chr17:25462601-25462802	MPP
chr8:71383945-71384146	MPP
chr7:45645156-45645357	MPP
chr15:27063330-27063531	MPP
chr3:100469619-100469820	MPP
chr18:60724551-60724752	MPP
chr5:124449562-124449763	MPP
chr2:92664006-92664207	MPP
chr9:21757659-21757860	MPP
chr11:5848738-5848939	MPP
chr12:110926923-110927124	MPP
chr11:70898690-70898891	MPP
chr12:8786322-8786523	MPP
chr14:51253581-51253782	MPP
chr8:128421043-128421244	MPP
chr6:121196240-121196441	MPP
chr6:39626627-39626828	MPP
chr5:122997335-122997536	MPP
chr14:103619975-103620176	MPP
chr17:56685452-56685653	MPP
chr11:34819090-34819291	MPP
chr2:168197713-168197914	MPP
chr18:4980370-4980571	MPP
chr2:35162817-35163018	MPP
chr15:88821537-88821738	MPP
chr13:114151017-114151218	MPP
chr14:25623969-25624170	MPP
chr4:11139996-11140197	MPP
chr1:157110407-157110608	MPP
chr13:30715084-30715285	MPP
chr3:83818551-83818752	MPP
chr19:44257642-44257843	MPP
chr12:91806611-91806812	MPP
chr13:41368749-41368950	MPP
chr18:65109519-65109720	MPP
chr6:146077812-146078013	MPP
chr4:41299016-41299217	MPP
chr8:70145670-70145871	MPP
chr19:29580556-29580757	MPP
chr10:67013183-67013384	MPP
chr2:152813300-152813501	MPP
chr4:20052921-20053122	MPP
chr2:27377993-27378194	MPP
chr8:75048621-75048822	MPP
chr16:32901479-32901680	MPP
chr5:117871615-117871816	MPP
chr1:38347486-38347687	MPP
chr2:6586231-6586432	MPP
chr4:115035763-115035964	MPP
chr7:136953345-136953546	MPP
chr5:115290266-115290467	MPP
chr4:136969189-136969390	MPP
chr5:121455945-121456146	MPP
chr2:5805285-5805486	MPP
chr8:68158518-68158719	MPP
chr5:107371471-107371672	MPP
chr11:51844847-51845048	MPP
chr2:167299461-167299662	MPP
chr4:107072071-107072272	MPP
chr1:128635736-128635937	MPP
chr11:102436552-102436753	MPP
chr6:51993117-51993318	MPP
chr19:40603288-40603489	MPP
chr6:145781870-145782071	MPP
chr17:9529446-9529647	MPP
chr9:119483526-119483727	MPP
chr5:92238888-92239089	MPP
chr4:11091383-11091584	MPP
chr8:106802224-106802425	MPP
chr11:109489847-109490048	MPP
chr8:94184362-94184563	MPP
chr3:65516613-65516814	MPP
chr14:64423617-64423818	MPP
chr12:91803522-91803723	MPP
chr14:8459882-8460083	MPP
chr7:84449152-84449353	MPP
chr19:6997735-6997936	MPP
chr5:135001341-135001542	MPP
chr16:26456295-26456496	MPP
chr17:84618123-84618324	MPP
chr7:49528428-49528629	MPP
chr12:79960081-79960282	MPP
chr13:114158406-114158607	MPP
chr11:94163461-94163662	MPP
chr7:67239107-67239308	MPP
chr7:16790213-16790414	MPP
chr8:122707309-122707510	MPP
chr15:59527603-59527804	MPP
chr2:112246288-112246489	MPP
chr1:161057810-161058011	MPP
chr4:89379594-89379795	MPP
chr9:48468529-48468730	MPP
chr1:164327722-164327923	MPP
chr5:36343063-36343264	MPP
chr4:126237758-126237959	MPP
chr14:72864223-72864424	MPP
chr10:76016846-76017047	MPP
chr2:102914834-102915035	MPP
chr2:20724403-20724604	MPP
chr10:80768575-80768776	MPP
chr2:168576052-168576253	MPP
chr9:58263849-58264050	MPP
chr13:42001090-42001291	MPP
chr17:71069589-71069790	MPP
chr5:24456388-24456589	MPP
chr11:8871679-8871880	MPP
chr11:74502564-74502765	MPP
chr7:115517833-115518034	MPP
chr7:140987849-140988050	MPP
chr1:131113617-131113818	MPP
chr1:161053115-161053316	MPP
chr9:75455741-75455942	MPP
chr19:32976544-32976745	MPP
chr5:118088827-118089028	MPP
chr3:89882761-89882962	MPP
chr18:80619236-80619437	MPP
chr6:82744680-82744881	MPP
chr13:44554848-44555049	MPP
chr2:155169113-155169314	MPP
chr6:28047099-28047300	MPP
chr17:83836191-83836392	MPP
chr3:153809458-153809659	MPP
chr11:74908675-74908876	MPP
chr17:24878094-24878295	MPP
chr4:137719694-137719895	MPP
chr2:158712492-158712693	MPP
chr3:40534341-40534542	MPP
chr8:122638724-122638925	MPP
chr14:63182806-63183007	MPP
chr18:69823243-69823444	MPP
chr11:8735825-8736026	MPP
chr2:35183413-35183614	MPP
chr10:117081422-117081623	MPP
chr15:99852702-99852903	MPP
chr2:20724098-20724299	MPP
chr6:115010376-115010577	MPP
chr11:79593621-79593822	MPP
chr1:136859489-136859690	MPP
chr10:79164047-79164248	MPP
chr4:141738071-141738272	MPP
chr13:107678932-107679133	MPP
chr1:62201953-62202154	MPP
chr4:95729591-95729792	MPP
chr11:51761288-51761489	MPP
chr14:122136989-122137190	MPP
chr9:22742067-22742268	MPP
chr10:17593203-17593404	MPP
chr7:133436157-133436358	MPP
chr2:102868551-102868752	MPP
chr11:6395706-6395907	MPP
chr3:145852938-145853139	MPP
chr9:77615933-77616134	MPP
chr14:36935518-36935719	MPP
chr12:111235707-111235908	MPP
chr9:88462715-88462916	MPP
chr3:116014944-116015145	MPP
chr5:22524150-22524351	MPP
chr17:75416957-75417158	MPP
chr1:62202473-62202674	MPP
chr8:111366715-111366916	MPP
chr14:122917758-122917959	MPP
chr5:144163159-144163360	MPP
chr18:39463606-39463807	MPP
chr16:32215306-32215507	MPP
chr2:6634978-6635179	MPP
chr3:84686079-84686280	MPP
chr15:98465640-98465841	MPP
chr1:74732955-74733156	MPP
chr17:56800297-56800498	MPP
chr4:139318503-139318704	MPP
chr8:82407105-82407306	MPP
chr6:128971015-128971216	MPP
chrX:108933951-108934152	MPP
chr12:111959802-111960003	MPP
chr15:58093490-58093691	MPP
chr18:58266728-58266929	MPP
chr17:31927987-31928188	MPP
chr5:23862427-23862628	MPP
chr5:22003954-22004155	MPP
chr10:83265799-83266000	MPP
chr3:65629751-65629952	MPP
chr11:79680037-79680238	MPP
chr13:30704271-30704472	MPP
chr10:68800499-68800700	MPP
chr3:69631379-69631580	MPP
chr9:28463724-28463925	MPP
chr10:121445938-121446139	MPP
chr12:31818174-31818375	MPP
chr6:70747727-70747928	MPP
chr4:33024523-33024724	MPP
chr19:54099387-54099588	MPP
chr2:150860124-150860325	MPP
chrX:11594590-11594791	MPP
chr2:120112447-120112648	MPP
chr1:131821120-131821321	MPP
chr12:36211609-36211810	MPP
chr17:75642386-75642587	MPP
chr8:48296486-48296687	MPP
chr12:81853706-81853907	MPP
chr7:45616679-45616880	MPP
chr3:107606944-107607145	MPP
chr17:24953458-24953659	MPP
chr13:35650612-35650813	MPP
chr1:105686688-105686889	MPP
chr1:120683468-120683669	MPP
chr1:157884585-157884786	MPP
chr6:116671039-116671240	MPP
chr1:138590393-138590594	MPP
chr4:129054645-129054846	MPP
chr8:122606889-122607090	MPP
chr7:75775316-75775517	MPP
chr19:16535357-16535558	MPP
chr12:105507910-105508111	MPP
chr2:6043161-6043362	MPP
chr6:8271162-8271363	MPP
chr19:59423760-59423961	MPP
chr7:144526789-144526990	MPP
chr15:12236407-12236608	MPP
chr4:62777555-62777756	MPP
chr10:126909126-126909327	MPP
chr16:18220214-18220415	MPP
chr8:66517983-66518184	MPP
chr2:154577058-154577259	MPP
chr2:84958712-84958913	MPP
chr6:83135737-83135938	MPP
chr2:163122489-163122690	MPP
chr11:77180970-77181171	MPP
chr17:45439024-45439225	MPP
chr5:110278316-110278517	MPP
chr1:96897285-96897486	MPP
chr4:58932689-58932890	MPP
chrX:104493061-104493262	MPP
chr11:103138837-103139038	MPP
chr2:29261279-29261480	MPP
chr1:36587969-36588170	MPP
chr1:164332686-164332887	MPP
chr3:51505581-51505782	MPP
chr2:92669627-92669828	MPP
chr15:8208094-8208295	MPP
chr17:25452994-25453195	MPP
chr13:75740097-75740298	MPP
chr12:102361590-102361791	MPP
chr5:150767826-150768027	MPP
chr9:51032986-51033187	MPP
chr10:25372156-25372357	MPP
chr7:97054699-97054900	MPP
chr6:86538694-86538895	MPP
chr5:105708434-105708635	MPP
chr7:25125878-25126079	MPP
chr16:31833070-31833271	MPP
chr9:70065108-70065309	MPP
chr1:156733831-156734032	MPP
chr10:83396503-83396704	MPP
chr10:74950007-74950208	MPP
chr1:9868638-9868839	MPP
chr14:70328701-70328902	MPP
chr1:151801061-151801262	MPP
chr14:121993712-121993913	MPP
chr2:29461705-29461906	MPP
chr7:143838050-143838251	MPP
chr18:52094620-52094821	MPP
chr5:66096698-66096899	MPP
chr5:97042164-97042365	MPP
chr19:37127096-37127297	MPP
chr15:79382083-79382284	MPP
chr5:123302615-123302816	MPP
chr18:89459203-89459404	MPP
chr10:4989090-4989291	MPP
chrX:36105390-36105591	MPP
chr4:109106073-109106274	MPP
chr19:6281633-6281834	MPP
chr15:82135427-82135628	MPP
chr3:153813030-153813231	MPP
chr5:22024199-22024400	MPP
chr14:76698887-76699088	MPP
chr2:70902251-70902452	MPP
chr12:8728832-8729033	MPP
chr6:121033336-121033537	MPP
chr2:144176715-144176916	MPP
chr6:8270420-8270621	MPP
chr1:189621564-189621765	MPP
chr14:51265607-51265808	MPP
chr15:38242490-38242691	MPP
chr18:10749142-10749343	MPP
chr11:82837266-82837467	MPP
chr15:58799416-58799617	MPP
chr4:11848422-11848623	MPP
chr18:53762552-53762753	MPP
chr13:30704820-30705021	MPP
chr13:92989636-92989837	MPP
chr10:44440395-44440596	MPP
chr1:128529978-128530179	MPP
chr17:86436692-86436893	MPP
chr18:67788862-67789063	MPP
chr6:52753408-52753609	MPP
chr8:10854637-10854838	MPP
chr6:114861646-114861847	MPP
chr10:71382257-71382458	MPP
chr6:146114130-146114331	MPP
chr13:107609060-107609261	MPP
chr12:8791247-8791448	MPP
chr8:79275037-79275238	MPP
chr12:24782681-24782882	MPP
chr17:80008358-80008559	MPP
chr9:15610134-15610335	MPP
chr17:74979958-74980159	MPP
chr14:105179856-105180057	MPP
chr12:65135009-65135210	MPP
chr11:34816013-34816214	MPP
chr6:8414155-8414356	MPP
chr12:81954634-81954835	MPP
chr5:120499381-120499582	MPP
chr6:39717904-39718105	MPP
chr15:44673659-44673860	MPP
chr19:8903493-8903694	MPP
chr13:112052939-112053140	MPP
chr17:80406713-80406914	MPP
chr19:16363262-16363463	MPP
chr2:79137124-79137325	MPP
chr15:10885259-10885460	MPP
chr9:118193330-118193531	MPP
chr6:52648139-52648340	MPP
chr11:78142430-78142631	MPP
chr2:29430658-29430859	MPP
chr2:70036365-70036566	MPP
chr8:122717997-122718198	MPP
chr15:102016702-102016903	MPP
chr9:76722957-76723158	MPP
chr5:31055893-31056094	MPP
chr8:117734424-117734625	MPP
chr5:100441533-100441734	MPP
chr15:83155562-83155763	MPP
chr14:31443682-31443883	MPP
chr11:117751628-117751829	MPP
chr1:93547026-93547227	MPP
chr1:60863035-60863236	MPP
chr13:107485810-107486011	MPP
chr3:41595166-41595367	MPP
chr9:75077196-75077397	MPP
chr3:101872808-101873009	MPP
chr13:85755731-85755932	MPP
chr3:27577704-27577905	MPP
chr1:38358482-38358683	MPP
chr1:138609332-138609533	MPP
chr7:29989122-29989323	MPP
chr1:160745312-160745513	MPP
chr4:106597891-106598092	MPP
chr11:62285160-62285361	MPP
chr3:102673497-102673698	MPP
chr5:92959740-92959941	MPP
chr4:122988561-122988762	MPP
chr14:9400384-9400585	MPP
chr9:83422885-83423086	MPP
chr4:62677617-62677818	MPP
chr1:93551190-93551391	MPP
chr9:99490716-99490917	MPP
chr6:17876063-17876264	MPP
chr2:130530006-130530207	MPP
chr8:10828640-10828841	MPP
chr1:35852028-35852229	MPP
chr19:29406120-29406321	MPP
chr1:85974492-85974693	MPP
chr1:132102306-132102507	MPP
chr3:100504152-100504353	MPP
chr4:134579344-134579545	MPP
chr13:37941103-37941304	MPP
chr12:108682262-108682463	MPP
chr2:155168856-155169057	MPP
chr3:88120024-88120225	MPP
chr14:26678914-26679115	MPP
chr3:156698793-156698994	MPP
chr2:79657110-79657311	MPP
chr6:8354541-8354742	MPP
chr2:181202936-181203137	MPP
chr5:31827302-31827503	MPP
chr14:51183706-51183907	MPP
chr4:102754135-102754336	MPP
chr12:53168696-53168897	MPP
chr2:25334119-25334320	MPP
chr14:73031294-73031495	MPP
chr10:24884246-24884447	MPP
chr13:19475361-19475562	MPP
chr19:45041823-45042024	MPP
chr14:66806715-66806916	MPP
chr3:103661859-103662060	MPP
chr12:108753464-108753665	MPP
chr8:126395957-126396158	MPP
chr2:26522454-26522655	MPP
chr13:95512851-95513052	MPP
chr3:27498875-27499076	MPP
chr5:134370869-134371070	MPP
chr12:91811515-91811716	MPP
chr9:43083753-43083954	MPP
chrX:53297748-53297949	MPP
chr1:65195628-65195829	MPP
chr12:116444319-116444520	MPP
chr2:29501553-29501754	MPP
chr1:93554162-93554363	MPP
chr2:152816408-152816609	MPP
chr5:130129909-130130110	MPP
chr10:86468660-86468861	MPP
chr6:113840115-113840316	MPP
chr3:16057759-16057960	MPP
chr10:86469037-86469238	MPP
chr4:140004354-140004555	MPP
chr10:66854921-66855122	MPP
chr8:120711217-120711418	MPP
chr10:59754726-59754927	MPP
chr11:88981538-88981739	MPP
chr4:33056702-33056903	MPP
chr5:121291266-121291467	MPP
chr10:94495943-94496144	MPP
chr1:59186197-59186398	MPP
chr2:119686897-119687098	MPP
chr10:116346667-116346868	MPP
chr5:139330851-139331052	MPP
chr9:80351101-80351302	MPP
chr11:115442387-115442588	MPP
chr6:87093873-87094074	MPP
chr15:76114593-76114794	MPP
chr9:31117409-31117610	MPP
chr6:3457476-3457677	MPP
chr15:78758291-78758492	MPP
chr5:122191616-122191817	MPP
chr8:106215445-106215646	MPP
chr2:33892500-33892701	MPP
chr2:167431597-167431798	MPP
chr12:110579354-110579555	MPP
chr16:38373506-38373707	MPP
chr6:34331483-34331684	MPP
chr2:124622835-124623036	MPP
chr15:80781506-80781707	MPP
chr12:8781271-8781472	MPP
chr12:111853142-111853343	MPP
chr1:74344073-74344274	MPP
chr4:141690603-141690804	MPP
chr15:69481081-69481282	MPP
chr3:38960907-38961108	MPP
chr6:54496292-54496493	MPP
chr3:100287907-100288108	MPP
chr19:24359389-24359590	MPP
chr12:105507539-105507740	MPP
chr14:60782228-60782429	MPP
chr4:134588381-134588582	MPP
chr8:88628084-88628285	MPP
chr6:84747525-84747726	MPP
chr6:37696152-37696353	MPP
chr13:59474767-59474968	MPP
chr13:107533453-107533654	MPP
chr1_GL456210_random:144971-145172	MPP
chr2:37597634-37597835	MPP
chr7:68040262-68040463	MPP
chr5:149119597-149119798	MPP
chr5:66170795-66170996	MPP
chr13:30684747-30684948	MPP
chr10:74952869-74953070	MPP
chr1:164855784-164855985	MPP
chr18:36088943-36089144	MPP
chr11:86412592-86412793	MPP
chr5:24061015-24061216	MPP
chr11:49854147-49854348	MPP
chr14:33548303-33548504	MPP
chr11:77240971-77241172	MPP
chr1:154809244-154809445	MPP
chr7:45617056-45617257	MPP
chr9:107689070-107689271	MPP
chr7:113847518-113847719	MPP
chr17:56686881-56687082	MPP
chr9:103210606-103210807	MPP
chr5:37313415-37313616	MPP
chr3:51255398-51255599	MPP
chr4:99944675-99944876	MPP
chr6:114847666-114847867	MPP
chr5:27767993-27768194	MPP
chr1:43546336-43546537	MPP
chr9:74921459-74921660	MPP
chr11:88714197-88714398	MPP
chr13:45661362-45661563	MPP
chr7:128004878-128005079	MPP
chrX:8213683-8213884	MPP
chr15:38202211-38202412	MPP
chr9:41179135-41179336	MPP
chr3:41017504-41017705	MPP
chr2:92614236-92614437	MPP
chr6:146285342-146285543	MPP
chr13:49169538-49169739	MPP
chrX:106019100-106019301	MPP
chr10:17577601-17577802	MPP
chr19:54277524-54277725	MPP
chr16:23341259-23341460	MPP
chr8:70148212-70148413	MPP
chr9:118173146-118173347	MPP
chr10:94496246-94496447	MPP
chr4:53793246-53793447	MPP
chr6:70910702-70910903	MPP
chr2:163103019-163103220	MPP
chr18:69826055-69826256	MPP
chr13:48944662-48944863	MPP
chr4:134154571-134154772	MPP
chr8:106185949-106186150	MPP
chr4:139132347-139132548	MPP
chr15:10178174-10178375	MPP
chr15:83223716-83223917	MPP
chr19:5822292-5822493	MPP
chr10:44304841-44305042	MPP
chr6:42447485-42447686	MPP
chr6:49046555-49046756	MPP
chr11:100888607-100888808	MPP
chr4:132299969-132300170	MPP
chr4:124746678-124746879	MPP
chr9:79821374-79821575	MPP
chr6:115012004-115012205	MPP
chr11:31195710-31195911	MPP
chr5:149537876-149538077	MPP
chr6:39680689-39680890	MPP
chr10:91205875-91206076	MPP
chr5:66073716-66073917	MPP
chr8:88627382-88627583	MPP
chr17:56797234-56797435	MPP
chr11:82835992-82836193	MPP
chr4:123797942-123798143	MPP
chr9:61238314-61238515	MPP
chr13:30688391-30688592	MPP
chr3:27320448-27320649	MPP
chr11:101130030-101130231	MPP
chr8:46819559-46819760	MPP
chr16:32936479-32936680	MPP
chr6:124879432-124879633	MPP
chr5:36352609-36352810	MPP
chr12:77236104-77236305	MPP
chr12:91800907-91801108	MPP
chr13:59475092-59475293	MPP
chr9:74909297-74909498	MPP
chr10:83266395-83266596	MPP
chr13:95101452-95101653	MPP
chr14:54499434-54499635	MPP
chr5:114723457-114723658	MPP
chr17:82824170-82824371	MPP
chr15:83152272-83152473	MPP
chr16:13428168-13428369	MPP
chr11:60331389-60331590	MPP
chr17:75463248-75463449	MPP
chr14:46783365-46783566	MPP
chr2:167471666-167471867	MPP
chr12:36274954-36275155	MPP
chr4:138786078-138786279	MPP
chr10:83364323-83364524	MPP
chr3:88133255-88133456	MPP
chr6:129334469-129334670	MPP
chr9:48474507-48474708	MPP
chr9:104482507-104482708	MPP
chr9:14736014-14736215	MPP
chr10:121780515-121780716	MPP
chr5:35817338-35817539	MPP
chr5:140351191-140351392	MPP
chr4:108907591-108907792	MPP
chr18:84267863-84268064	MPP
chr5:66144502-66144703	MPP
chr17:75366444-75366645	MPP
chr12:111332506-111332707	MPP
chr14:9410113-9410314	MPP
chr4:82153092-82153293	MPP
chr16:26552354-26552555	MPP
chr15:88823466-88823667	MPP
chr4:83513704-83513905	MPP
chr15:34078775-34078976	MPP
chr15:80772025-80772226	MPP
chr5:36980393-36980594	MPP
chr15:73098066-73098267	MPP
chr4:137634938-137635139	MPP
chr1:151643727-151643928	MPP
chr5:137122017-137122218	MPP
chr19:37123795-37123996	MPP
chr5:30614369-30614570	MPP
chrX:73584720-73584921	MPP
chr1:158615336-158615537	MPP
chr19:16194105-16194306	MPP
chr16:13812706-13812907	MPP
chr8:88632372-88632573	MPP
chr6:84961863-84962064	MPP
chr2:90905949-90906150	MPP
chr11:4498907-4499108	MPP
chr9:106861391-106861592	MPP
chr2:150593293-150593494	MPP
chr13:9552961-9553162	MPP
chr1:30793047-30793248	MPP
chr2:106794067-106794268	MPP
chr15:79406639-79406840	MPP
chr8:122772866-122773067	MPP
chr2:155723219-155723420	MPP
chr16:33024992-33025193	MPP
chr10:78258373-78258574	MPP
chr4:59460526-59460727	MPP
chr17:7193009-7193210	MPP
chr6:99515771-99515972	MPP
chr9:59706905-59707106	MPP
chr6:127270949-127271150	MPP
chr3:95023329-95023530	MPP
chr6:28555443-28555644	MPP
chr18:67758660-67758861	MPP
chr4:108904225-108904426	MPP
chr1:13158426-13158627	MPP
chr12:112556295-112556496	MPP
chr18:53768268-53768469	MPP
chr2:148692519-148692720	MPP
chr16:22131487-22131688	MPP
chr9:41198959-41199160	MPP
chr5:148329175-148329376	MPP
chr13:114993287-114993488	MPP
chr17:29468333-29468534	MPP
chr1:133013791-133013992	MPP
chr9:62911495-62911696	MPP
chr19:24416270-24416471	MPP
chr15:78577504-78577705	MPP
chr5:53577478-53577679	MPP
chr1:44178173-44178374	MPP
chr13:73618497-73618698	MPP
chr6:88342764-88342965	MPP
chr15:10579274-10579475	MPP
chr11:79718885-79719086	MPP
chr11:87646528-87646729	MPP
chr18:56337519-56337720	MPP
chr15:34362341-34362542	MPP
chr7:80677236-80677437	MPP
chr16:11313612-11313813	MPP
chr14:65657818-65658019	MPP
chr8:86644007-86644208	MPP
chr11:51992444-51992645	MPP
chr17:37223754-37223955	MPP
chr10:81220716-81220917	MPP
chr6:28714657-28714858	MPP
chr10:67000238-67000439	MPP
chr17:26562305-26562506	MPP
chr2:31094672-31094873	MPP
chr4:89380632-89380833	MPP
chr12:81853436-81853637	MPP
chr6:85490825-85491026	MPP
chrX:38305529-38305730	MPP
chr11:5391440-5391641	MPP
chr9:80053031-80053232	MPP
chr6:28040851-28041052	MPP
chr2:73323183-73323384	MPP
chr11:88442207-88442408	MPP
chr1:132028448-132028649	MPP
chr15:57876116-57876317	MPP
chr4:43003055-43003256	MPP
chr19:54099903-54100104	MPP
chr3:154739224-154739425	MPP
chr11:74909052-74909253	MPP
chr6:37429973-37430174	MPP
chr19:34235068-34235269	MPP
chr1:24046782-24046983	MPP
chr2:118536161-118536362	MPP
chr12:111326229-111326430	MPP
chr16:30212164-30212365	MPP
chr17:24891422-24891623	MPP
chr2:29415251-29415452	MPP
chr18:74704134-74704335	MPP
chr9:67904450-67904651	MPP
chr8:115065917-115066118	MPP
chr18:80269478-80269679	MPP
chr1:182250784-182250985	MPP
chr7:45617423-45617624	MPP
chr15:83541990-83542191	MPP
